"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12,C18,C14,C13,C11,C10,C9,C8,C7,C6,C5";"C_0402_1005Metric";11;"100nf";;;
2;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RETx";;;
3;"U3";"TO-263-3_TabPin2";1;"LM7805";;;
4;"U1";"SOT-223-3_TabPin2";1;"AMS1117CD-3.3";;;
5;"RV1";"Potentiometer_Vishay_T73XW_Horizontal";1;"50K";;;
6;"R4,R3";"R_0402_1005Metric";2;"220";;;
7;"R2,R1";"R_0402_1005Metric";2;"10k";;;
8;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"BUZZER";;;
9;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"ADC INPUTS";;;
10;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"UART1";;;
11;"J2";"PinHeader_2x01_P2.00mm_Vertical";1;"POWER";;;
12;"HSE1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
13;"FB2,FB1";"L_0805_2012Metric";2;"100@100MHz";;;
14;"F1";"Fuse_0603_1608Metric";1;"500mA";;;
15;"D2";"LED_0603_1608Metric";1;"LED";;;
16;"D1";"D_SOD-123";1;"B5819W";;;
17;"C20";"C_0805_2012Metric";1;"10n";;;
18;"C19,C16";"C_0402_1005Metric";2;"12pf";;;
19;"C17";"C_0402_1005Metric";1;"0.1uf";;;
20;"C15";"C_Elec_4x5.4";1;"0.33uf";;;
21;"C4,C2,C1";"C_0805_2012Metric";3;"10u";;;
22;"C3";"C_0805_2012Metric";1;"4.7uf";;;
23;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"SERIAL DEBUG";;;
24;"J3";"PinHeader_2x05_P2.54mm_Vertical";1;"LCD CONECTOR";;;
